incident_id,date,city,area_type,drug_type,crime_type,quantity_seized_g,offender_age,offender_gender,prior_offenses,repeat_offender,arrest_made,risk_level
DC00952,2022-01-14,Kolkata,Commercial Zone,Cannabis,Possession,64.66,30,Male,1,0,1,Low
DC02968,2022-01-14,Hyderabad,Industrial Area,Cannabis,Trafficking,100.32,34,Male,1,0,0,High
DC00550,2022-01-14,Pune,Commercial Zone,MDMA,Possession,17.79,27,Male,2,1,0,Low
DC04865,2022-01-14,Delhi,Nightlife District,Cocaine,Distribution,26.71,28,Male,2,1,1,Medium
DC02559,2022-01-14,Chennai,Commercial Zone,MDMA,Possession,10.38,22,Male,1,0,1,Low
DC01574,2022-01-16,Ahmedabad,Industrial Area,Prescription Drugs,Possession,2.71,21,Male,1,0,1,Low
DC01019,2022-01-16,Jaipur,Urban Residential,Cocaine,Public Consumption,0.5,14,Male,0,0,0,Low
DC01491,2022-01-16,Mumbai,Industrial Area,Cannabis,Possession,12.59,37,Male,2,1,0,Low
DC02213,2022-01-16,Chennai,Commercial Zone,Heroin,Distribution,29.97,32,Male,2,1,0,Medium
DC00224,2022-01-16,Delhi,Educational Zone,Methamphetamine,Possession,44.94,20,Male,1,0,0,Low
DC00790,2022-01-16,Lucknow,Rural/Outskirts,Prescription Drugs,Possession,68.66,33,Male,3,1,1,Medium
DC01553,2022-01-17,Ahmedabad,Nightlife District,Prescription Drugs,Possession,5.55,39,Female,3,1,0,Low
DC03385,2022-01-17,Chennai,Urban Residential,Cannabis,Possession,4.75,20,Male,0,0,1,Low
DC00647,2022-01-17,Hyderabad,Industrial Area,Methamphetamine,Possession,6.96,21,Male,2,1,1,Low
DC01285,2022-01-18,Delhi,Commercial Zone,MDMA,Distribution,5.51,36,Female,0,0,1,Low
DC04017,2022-01-18,Jaipur,Urban Residential,Methamphetamine,Possession,4.27,32,Male,1,0,0,Low
DC04575,2022-01-18,Pune,Nightlife District,Cannabis,Possession,15.02,28,Female,2,1,0,Low
DC00489,2022-01-19,Lucknow,Commercial Zone,Cocaine,Possession,20.56,38,Male,1,0,0,Low
DC02746,2022-01-19,Pune,Urban Residential,Cocaine,Public Consumption,1.95,19,Female,1,0,1,Low
DC04516,2022-01-19,Delhi,Educational Zone,Cannabis,Distribution,20.54,43,Male,0,0,1,Low
DC04445,2022-01-19,Bengaluru,Urban Residential,Cannabis,Trafficking,87.31,41,Male,2,1,1,High
DC03895,2022-01-19,Pune,Commercial Zone,MDMA,Distribution,1.08,20,Male,1,0,1,Low
DC00426,2022-01-19,Hyderabad,Commercial Zone,Prescription Drugs,Possession,14.56,43,Female,2,1,1,Low
DC00063,2022-01-19,Ahmedabad,Commercial Zone,Cannabis,Possession,14.13,41,Female,1,0,1,Low
DC02041,2022-01-20,Ahmedabad,Urban Residential,Heroin,Public Consumption,0.99,40,Male,1,0,0,Low
DC02733,2022-01-20,Chennai,Educational Zone,Methamphetamine,Possession,7.35,36,Male,1,0,1,Low
DC01679,2022-01-21,Mumbai,Urban Residential,Methamphetamine,Possession,12.72,14,Male,2,1,1,Low
DC00838,2022-01-21,Delhi,Urban Residential,Cannabis,Public Consumption,27.06,39,Male,0,0,0,Low
DC01578,2022-01-21,Kolkata,Nightlife District,Cannabis,Distribution,104.38,27,Male,3,1,1,High
DC01955,2022-01-22,Lucknow,Industrial Area,Prescription Drugs,Possession,20.03,29,Male,2,1,1,Low
DC02112,2022-01-23,Mumbai,Nightlife District,Prescription Drugs,Distribution,59.57,29,Male,0,0,1,Medium
DC02331,2022-01-23,Delhi,Rural/Outskirts,Prescription Drugs,Trafficking,61.55,20,Male,2,1,1,High
DC03460,2022-01-23,Kolkata,Industrial Area,Other Synthetic,Possession,8.01,31,Male,2,1,0,Low
DC02691,2022-01-23,Hyderabad,Rural/Outskirts,Cannabis,Public Consumption,38.07,27,Male,0,0,1,Low
DC02425,2022-01-24,Delhi,Urban Residential,Cannabis,Possession,42.08,37,Female,1,0,0,Low
DC03921,2022-01-24,Lucknow,Urban Residential,Methamphetamine,Possession,5.1,26,Female,1,0,1,Low
DC04976,2022-01-24,Bengaluru,Nightlife District,Cannabis,Possession,14.2,23,Male,1,0,0,Low
DC04008,2022-01-24,Bengaluru,Commercial Zone,Other Synthetic,Distribution,18.25,20,Female,2,1,0,Medium
DC00137,2022-01-25,Bengaluru,Nightlife District,Cannabis,Possession,97.13,28,Female,0,0,0,Low
DC04046,2022-01-25,Bengaluru,Nightlife District,Cannabis,Public Consumption,39.74,31,Male,0,0,0,Low
DC03299,2022-01-25,Delhi,Industrial Area,Cannabis,Public Consumption,45.49,22,Female,4,1,1,Medium
DC00485,2022-01-25,Hyderabad,Urban Residential,MDMA,Possession,4.5,17,Male,1,0,0,Low
DC01619,2022-01-25,Hyderabad,Urban Residential,Cannabis,Distribution,84.49,29,Male,0,0,1,Medium
DC04354,2022-01-26,Lucknow,Nightlife District,Cocaine,Distribution,2.7,23,Female,2,1,1,Medium
DC02455,2022-01-26,Hyderabad,Urban Residential,Cannabis,Public Consumption,16.5,39,Male,2,1,0,Low
DC04892,2022-01-26,Chennai,Commercial Zone,Cannabis,Possession,7.16,27,Male,0,0,0,Low
DC00253,2022-01-26,Ahmedabad,Nightlife District,MDMA,Possession,20.58,23,Female,1,0,1,Low
DC01218,2022-01-26,Kolkata,Rural/Outskirts,Heroin,Possession,13.16,20,Male,2,1,0,Low
DC01260,2022-01-26,Hyderabad,Urban Residential,Other Synthetic,Possession,21.11,30,Male,2,1,0,Low
DC01261,2022-01-27,Delhi,Urban Residential,Cannabis,Distribution,202.59,34,Male,1,0,1,High
DC03490,2022-01-28,Bengaluru,Educational Zone,Cannabis,Possession,3.63,14,Female,1,0,0,Low
DC04203,2022-01-29,Mumbai,Nightlife District,Heroin,Public Consumption,0.5,20,Male,0,0,0,Low
DC01370,2022-01-29,Mumbai,Commercial Zone,Cannabis,Distribution,24.3,32,Male,1,0,0,Medium
DC00832,2022-01-29,Bengaluru,Urban Residential,Prescription Drugs,Possession,21.87,18,Male,4,1,1,Medium
DC02210,2022-01-29,Jaipur,Urban Residential,Heroin,Possession,3.53,30,Male,2,1,1,Low
DC01356,2022-01-29,Jaipur,Educational Zone,MDMA,Public Consumption,3.42,35,Male,1,0,1,Low
DC04326,2022-01-29,Lucknow,Commercial Zone,MDMA,Possession,5.79,25,Male,0,0,1,Low
DC03084,2022-01-30,Hyderabad,Urban Residential,Cannabis,Possession,163.1,14,Male,0,0,1,Medium
DC01200,2022-01-31,Mumbai,Nightlife District,Methamphetamine,Possession,16.66,14,Male,3,1,1,Low
DC01439,2022-01-31,Mumbai,Urban Residential,Heroin,Public Consumption,18.3,33,Male,2,1,1,Low
DC00931,2022-01-31,Mumbai,Industrial Area,Cocaine,Public Consumption,3.06,22,Male,0,0,1,Low
DC04027,2022-01-31,Delhi,Educational Zone,Cannabis,Public Consumption,42.96,36,Male,3,1,0,Medium
DC03370,2022-02-01,Kolkata,Educational Zone,Cannabis,Distribution,124.82,42,Male,0,0,1,Medium
DC01116,2022-02-01,Hyderabad,Industrial Area,Cannabis,Distribution,60.95,34,Male,2,1,1,Medium
DC04909,2022-02-01,Pune,Industrial Area,MDMA,Possession,7.18,45,Male,5,1,1,Medium
DC02863,2022-02-02,Lucknow,Educational Zone,Methamphetamine,Possession,2.76,52,Male,3,1,1,Low
DC03760,2022-02-02,Ahmedabad,Rural/Outskirts,Heroin,Public Consumption,8.83,20,Male,1,0,1,Low
DC02190,2022-02-04,Kolkata,Commercial Zone,Cannabis,Public Consumption,17.5,28,Male,3,1,1,Medium
DC01059,2022-02-05,Bengaluru,Nightlife District,Cannabis,Possession,121.27,33,Female,1,0,1,Medium
DC04186,2022-02-05,Kolkata,Urban Residential,Cannabis,Possession,25.46,30,Male,0,0,1,Low
DC00415,2022-02-06,Kolkata,Educational Zone,Prescription Drugs,Distribution,4.47,21,Female,3,1,1,Medium
DC04705,2022-02-06,Bengaluru,Urban Residential,Heroin,Distribution,0.55,14,Male,1,0,0,Low
DC02519,2022-02-06,Kolkata,Rural/Outskirts,MDMA,Distribution,2.65,33,Male,0,0,0,Low
DC03298,2022-02-07,Chennai,Urban Residential,Prescription Drugs,Possession,23.89,44,Female,1,0,1,Low
DC01458,2022-02-07,Kolkata,Urban Residential,Cannabis,Trafficking,79.6,32,Male,1,0,1,Medium
DC01891,2022-02-07,Chennai,Rural/Outskirts,Prescription Drugs,Distribution,109.67,25,Male,2,1,1,Medium
DC02097,2022-02-08,Hyderabad,Urban Residential,Prescription Drugs,Possession,9.84,17,Male,2,1,1,Low
DC01079,2022-02-08,Mumbai,Nightlife District,Methamphetamine,Possession,16.74,21,Female,4,1,1,Medium
DC03768,2022-02-08,Bengaluru,Industrial Area,Cocaine,Public Consumption,5.1,24,Male,1,0,1,Low
DC00124,2022-02-08,Mumbai,Commercial Zone,Cannabis,Distribution,12.2,28,Male,3,1,1,Medium
DC04746,2022-02-09,Chennai,Industrial Area,Methamphetamine,Possession,11.33,34,Male,1,0,0,Low
DC00735,2022-02-09,Delhi,Urban Residential,Prescription Drugs,Public Consumption,15.94,15,Female,1,0,1,Low
DC02906,2022-02-10,Chennai,Urban Residential,Cocaine,Possession,32.93,29,Female,0,0,1,Low
DC03803,2022-02-10,Ahmedabad,Industrial Area,Prescription Drugs,Possession,44.94,32,Male,1,0,0,Low
DC04107,2022-02-10,Lucknow,Commercial Zone,Prescription Drugs,Public Consumption,37.38,14,Male,1,0,0,Low
DC03530,2022-02-10,Bengaluru,Commercial Zone,Heroin,Trafficking,51.55,32,Male,3,1,1,High
DC00438,2022-02-11,Ahmedabad,Urban Residential,MDMA,Distribution,5.86,29,Male,2,1,0,Medium
DC04441,2022-02-11,Jaipur,Industrial Area,Cannabis,Trafficking,52.9,27,Male,1,0,1,Medium
DC04396,2022-02-11,Ahmedabad,Urban Residential,Other Synthetic,Public Consumption,4.0,36,Male,2,1,0,Low
DC00523,2022-02-11,Lucknow,Nightlife District,Cannabis,Distribution,73.46,24,Male,1,0,0,Medium
DC02441,2022-02-11,Hyderabad,Urban Residential,Cannabis,Distribution,0.52,42,Female,1,0,1,Low
DC02633,2022-02-12,Chennai,Industrial Area,Methamphetamine,Possession,14.83,22,Male,1,0,0,Low
DC02821,2022-02-12,Jaipur,Urban Residential,Cocaine,Possession,20.72,24,Male,0,0,1,Low
DC04018,2022-02-13,Jaipur,Commercial Zone,Cocaine,Possession,30.63,20,Male,4,1,1,Medium
DC03544,2022-02-13,Delhi,Urban Residential,Cocaine,Possession,20.66,26,Male,0,0,1,Low
DC00656,2022-02-14,Mumbai,Commercial Zone,Heroin,Possession,22.17,18,Male,1,0,1,Low
DC02128,2022-02-14,Mumbai,Nightlife District,MDMA,Possession,7.95,21,Female,2,1,1,Low
DC00419,2022-02-14,Kolkata,Nightlife District,Heroin,Possession,4.99,22,Male,1,0,0,Low
DC03340,2022-02-15,Kolkata,Commercial Zone,Methamphetamine,Distribution,60.05,33,Male,2,1,0,Medium
DC01008,2022-02-15,Ahmedabad,Industrial Area,Cocaine,Distribution,0.5,22,Female,2,1,0,Medium
DC03823,2022-02-16,Ahmedabad,Urban Residential,Cocaine,Public Consumption,21.22,21,Male,3,1,1,Medium
DC02013,2022-02-16,Jaipur,Commercial Zone,Cannabis,Possession,11.33,32,Male,1,0,0,Low
DC03452,2022-02-16,Kolkata,Commercial Zone,Methamphetamine,Possession,1.97,32,Male,1,0,0,Low
DC01201,2022-02-16,Pune,Educational Zone,Heroin,Possession,2.86,25,Male,3,1,1,Low
DC00901,2022-02-16,Mumbai,Urban Residential,Heroin,Possession,1.28,31,Male,5,1,1,Medium
DC04382,2022-02-18,Chennai,Nightlife District,Cannabis,Public Consumption,28.79,15,Male,3,1,1,Medium
DC00771,2022-02-18,Mumbai,Urban Residential,Cannabis,Possession,49.02,14,Male,3,1,1,Medium
DC03323,2022-02-18,Pune,Industrial Area,Prescription Drugs,Possession,48.52,25,Male,0,0,0,Low
DC02887,2022-02-18,Bengaluru,Industrial Area,Cannabis,Possession,42.99,22,Male,2,1,0,Low
DC02172,2022-02-18,Chennai,Rural/Outskirts,Cannabis,Distribution,30.15,14,Male,2,1,0,Medium
DC00454,2022-02-18,Jaipur,Nightlife District,Prescription Drugs,Possession,18.17,15,Male,0,0,1,Low
DC01042,2022-02-18,Pune,Commercial Zone,MDMA,Public Consumption,20.15,16,Male,1,0,0,Low
DC00878,2022-02-18,Kolkata,Rural/Outskirts,Cannabis,Distribution,74.37,14,Male,1,0,0,Medium
DC01296,2022-02-19,Mumbai,Urban Residential,Cannabis,Possession,49.94,14,Male,1,0,1,Low
DC02346,2022-02-20,Kolkata,Commercial Zone,Cannabis,Possession,4.98,32,Male,2,1,0,Low
DC03479,2022-02-21,Bengaluru,Rural/Outskirts,Cocaine,Possession,14.4,29,Male,2,1,1,Low
DC01632,2022-02-22,Delhi,Rural/Outskirts,MDMA,Possession,2.83,15,Male,0,0,1,Low
DC02644,2022-02-22,Kolkata,Nightlife District,Prescription Drugs,Distribution,8.18,14,Female,1,0,0,Low
DC01783,2022-02-22,Bengaluru,Urban Residential,Cocaine,Public Consumption,10.31,30,Male,1,0,1,Low
DC01934,2022-02-22,Hyderabad,Commercial Zone,Cannabis,Public Consumption,32.38,32,Male,0,0,0,Low
DC04523,2022-02-23,Jaipur,Urban Residential,MDMA,Public Consumption,19.05,24,Male,0,0,1,Low
DC04155,2022-02-24,Delhi,Urban Residential,Cannabis,Possession,38.11,21,Male,3,1,0,Medium
DC00504,2022-02-24,Ahmedabad,Commercial Zone,Heroin,Possession,17.44,44,Male,0,0,0,Low
DC04243,2022-02-24,Pune,Commercial Zone,MDMA,Public Consumption,1.8,26,Male,1,0,0,Low
DC00435,2022-02-24,Chennai,Educational Zone,Cannabis,Possession,1.61,32,Male,0,0,1,Low
DC03549,2022-02-24,Delhi,Urban Residential,Cocaine,Possession,7.57,40,Male,0,0,0,Low
DC03313,2022-02-25,Kolkata,Urban Residential,Other Synthetic,Possession,3.53,19,Male,0,0,0,Low
DC02458,2022-02-25,Kolkata,Commercial Zone,Prescription Drugs,Possession,34.76,26,Male,1,0,0,Low
DC01055,2022-02-25,Lucknow,Commercial Zone,Methamphetamine,Possession,21.54,46,Female,1,0,0,Low
DC01940,2022-02-25,Chennai,Urban Residential,Heroin,Possession,47.48,20,Male,0,0,1,Low
DC00193,2022-02-26,Jaipur,Nightlife District,Cocaine,Possession,0.83,25,Female,0,0,0,Low
DC01539,2022-02-26,Mumbai,Urban Residential,Prescription Drugs,Possession,15.19,34,Male,0,0,1,Low
DC03335,2022-02-26,Jaipur,Commercial Zone,Methamphetamine,Public Consumption,3.23,16,Male,1,0,0,Low
DC04762,2022-02-26,Lucknow,Nightlife District,Cannabis,Possession,56.95,25,Male,0,0,1,Low
DC02317,2022-02-26,Delhi,Commercial Zone,Methamphetamine,Public Consumption,6.46,25,Male,2,1,0,Low
DC00122,2022-02-26,Jaipur,Urban Residential,Cannabis,Possession,95.34,25,Male,0,0,1,Low
DC02895,2022-02-26,Mumbai,Rural/Outskirts,MDMA,Possession,6.18,35,Male,0,0,0,Low
DC00141,2022-02-26,Lucknow,Nightlife District,MDMA,Possession,9.91,14,Male,1,0,1,Low
DC01205,2022-02-27,Bengaluru,Urban Residential,Methamphetamine,Distribution,2.51,31,Male,0,0,0,Low
DC01807,2022-02-27,Kolkata,Urban Residential,Cannabis,Public Consumption,36.92,19,Male,1,0,0,Low
DC00363,2022-02-28,Bengaluru,Nightlife District,Heroin,Public Consumption,2.87,16,Male,1,0,0,Low
DC04611,2022-02-28,Delhi,Urban Residential,Other Synthetic,Possession,9.16,31,Male,0,0,1,Low
DC04629,2022-02-28,Kolkata,Commercial Zone,Cannabis,Distribution,57.9,16,Female,0,0,1,Medium
DC01657,2022-02-28,Hyderabad,Commercial Zone,Methamphetamine,Possession,5.39,20,Female,2,1,0,Low
DC03230,2022-03-01,Mumbai,Educational Zone,Methamphetamine,Possession,7.17,15,Male,3,1,0,Low
DC01526,2022-03-01,Delhi,Commercial Zone,Cannabis,Trafficking,95.34,30,Female,3,1,1,High
DC02549,2022-03-01,Delhi,Commercial Zone,Cannabis,Possession,80.52,34,Male,1,0,0,Low
DC03293,2022-03-01,Delhi,Urban Residential,Prescription Drugs,Possession,39.5,52,Male,2,1,1,Low
DC04332,2022-03-02,Mumbai,Urban Residential,Cannabis,Possession,12.95,37,Female,0,0,1,Low
DC03364,2022-03-02,Delhi,Rural/Outskirts,Cannabis,Trafficking,238.74,26,Male,4,1,1,High
DC04273,2022-03-02,Mumbai,Urban Residential,Methamphetamine,Public Consumption,2.77,14,Female,1,0,1,Low
DC02870,2022-03-02,Delhi,Urban Residential,Other Synthetic,Possession,4.23,34,Male,0,0,1,Low
DC01186,2022-03-03,Lucknow,Industrial Area,Prescription Drugs,Trafficking,72.83,19,Female,1,0,0,Medium
DC02016,2022-03-03,Bengaluru,Educational Zone,Cocaine,Possession,2.1,29,Male,0,0,1,Low
DC00422,2022-03-03,Pune,Urban Residential,MDMA,Public Consumption,4.21,18,Male,3,1,1,Low
DC04356,2022-03-03,Hyderabad,Industrial Area,Heroin,Public Consumption,13.64,41,Male,0,0,1,Low
DC01146,2022-03-03,Jaipur,Commercial Zone,Cannabis,Possession,178.35,28,Male,0,0,1,Medium
DC01772,2022-03-04,Pune,Urban Residential,Cocaine,Distribution,4.61,28,Male,3,1,1,Medium
DC02831,2022-03-04,Bengaluru,Urban Residential,Prescription Drugs,Distribution,4.82,33,Male,1,0,0,Low
DC03404,2022-03-04,Delhi,Urban Residential,Other Synthetic,Possession,3.15,18,Male,4,1,1,Medium
DC04105,2022-03-05,Delhi,Educational Zone,Heroin,Possession,14.69,21,Female,1,0,0,Low
DC00831,2022-03-05,Mumbai,Urban Residential,Cannabis,Trafficking,210.55,14,Male,3,1,0,High
DC01380,2022-03-05,Hyderabad,Urban Residential,Cocaine,Distribution,3.06,21,Female,0,0,1,Low
DC02849,2022-03-05,Hyderabad,Commercial Zone,Prescription Drugs,Public Consumption,32.93,34,Male,0,0,1,Low
DC01915,2022-03-06,Bengaluru,Educational Zone,Cannabis,Trafficking,124.65,18,Female,2,1,1,High
DC04446,2022-03-07,Lucknow,Nightlife District,Methamphetamine,Possession,4.64,15,Male,2,1,0,Low
DC00712,2022-03-07,Hyderabad,Commercial Zone,MDMA,Possession,15.27,43,Male,2,1,1,Low
DC01076,2022-03-07,Bengaluru,Rural/Outskirts,Cannabis,Distribution,62.02,50,Male,1,0,0,Medium
DC00842,2022-03-07,Kolkata,Urban Residential,Cocaine,Possession,20.54,22,Male,0,0,1,Low
DC00982,2022-03-08,Pune,Industrial Area,Cannabis,Distribution,147.42,25,Male,2,1,1,High
DC01708,2022-03-08,Mumbai,Urban Residential,Cannabis,Distribution,52.91,23,Male,4,1,0,High
DC03577,2022-03-08,Mumbai,Commercial Zone,Cocaine,Distribution,54.01,16,Male,0,0,1,Medium
DC03773,2022-03-08,Delhi,Commercial Zone,Prescription Drugs,Distribution,21.65,21,Male,2,1,1,Medium
DC01070,2022-03-09,Delhi,Industrial Area,Prescription Drugs,Possession,1.84,21,Male,0,0,1,Low
DC00626,2022-03-09,Delhi,Educational Zone,Prescription Drugs,Possession,11.57,24,Male,2,1,0,Low
DC00269,2022-03-09,Delhi,Urban Residential,Methamphetamine,Possession,9.72,28,Male,0,0,0,Low
DC04997,2022-03-09,Mumbai,Educational Zone,Methamphetamine,Public Consumption,15.22,32,Female,2,1,0,Low
DC03316,2022-03-10,Kolkata,Industrial Area,Cannabis,Possession,33.71,34,Male,2,1,0,Low
DC03807,2022-03-10,Bengaluru,Nightlife District,Prescription Drugs,Possession,16.84,29,Male,1,0,1,Low
DC01424,2022-03-10,Mumbai,Industrial Area,Prescription Drugs,Possession,3.12,34,Male,1,0,1,Low
DC01484,2022-03-10,Chennai,Urban Residential,MDMA,Distribution,1.24,36,Female,0,0,1,Low
DC00456,2022-03-10,Bengaluru,Commercial Zone,Heroin,Public Consumption,2.93,36,Male,2,1,1,Low
DC03267,2022-03-11,Bengaluru,Nightlife District,Cocaine,Possession,12.02,27,Female,2,1,1,Low
DC04003,2022-03-11,Pune,Urban Residential,Prescription Drugs,Possession,31.34,32,Female,0,0,0,Low
DC01307,2022-03-11,Kolkata,Urban Residential,Heroin,Possession,9.88,17,Male,0,0,1,Low
DC00121,2022-03-11,Ahmedabad,Urban Residential,Cannabis,Public Consumption,17.16,14,Male,3,1,0,Medium
DC00303,2022-03-12,Hyderabad,Urban Residential,Methamphetamine,Possession,8.9,31,Male,0,0,1,Low
DC02391,2022-03-12,Delhi,Rural/Outskirts,Prescription Drugs,Possession,3.44,38,Female,0,0,1,Low
DC02984,2022-03-13,Ahmedabad,Urban Residential,Cocaine,Possession,17.8,28,Male,4,1,1,Medium
DC04737,2022-03-13,Bengaluru,Educational Zone,MDMA,Possession,9.27,35,Male,0,0,1,Low
DC03423,2022-03-13,Pune,Nightlife District,Prescription Drugs,Possession,4.53,22,Male,3,1,1,Low
DC03221,2022-03-14,Bengaluru,Urban Residential,Cannabis,Possession,49.36,14,Male,2,1,0,Low
DC02865,2022-03-14,Bengaluru,Nightlife District,Methamphetamine,Public Consumption,31.54,24,Male,2,1,1,Low
DC00667,2022-03-15,Delhi,Nightlife District,Other Synthetic,Possession,1.9,29,Female,0,0,0,Low
DC03564,2022-03-15,Bengaluru,Industrial Area,Methamphetamine,Public Consumption,32.69,40,Male,1,0,0,Low
DC03363,2022-03-15,Kolkata,Urban Residential,Prescription Drugs,Public Consumption,36.84,24,Male,1,0,1,Low
DC04405,2022-03-15,Lucknow,Commercial Zone,Cannabis,Possession,25.66,42,Male,0,0,0,Low
DC04418,2022-03-15,Chennai,Urban Residential,Heroin,Possession,8.92,42,Male,0,0,0,Low
DC02987,2022-03-15,Chennai,Commercial Zone,Cannabis,Possession,35.15,14,Male,2,1,0,Low
DC01143,2022-03-16,Kolkata,Rural/Outskirts,Heroin,Possession,8.02,43,Male,0,0,0,Low
DC01677,2022-03-16,Chennai,Nightlife District,Cannabis,Possession,66.5,32,Male,1,0,0,Low
DC02208,2022-03-16,Ahmedabad,Urban Residential,MDMA,Public Consumption,2.98,14,Female,3,1,1,Low
DC02902,2022-03-17,Pune,Industrial Area,Heroin,Public Consumption,43.1,21,Male,0,0,1,Low
DC04041,2022-03-17,Ahmedabad,Rural/Outskirts,Cannabis,Distribution,8.7,30,Male,1,0,0,Low
DC01416,2022-03-17,Lucknow,Industrial Area,MDMA,Public Consumption,10.96,35,Male,0,0,0,Low
DC04974,2022-03-18,Kolkata,Urban Residential,MDMA,Possession,3.1,31,Male,1,0,1,Low
DC02784,2022-03-18,Pune,Urban Residential,Cannabis,Possession,30.79,24,Male,0,0,0,Low
DC01323,2022-03-20,Jaipur,Commercial Zone,MDMA,Possession,7.09,31,Female,0,0,1,Low
DC02054,2022-03-20,Lucknow,Urban Residential,Cocaine,Possession,46.2,35,Male,2,1,1,Low
DC04571,2022-03-21,Bengaluru,Urban Residential,Prescription Drugs,Possession,16.37,32,Male,0,0,1,Low
DC03556,2022-03-21,Kolkata,Educational Zone,Methamphetamine,Public Consumption,4.8,43,Male,4,1,1,Medium
DC00478,2022-03-21,Hyderabad,Commercial Zone,Heroin,Distribution,0.5,38,Female,1,0,1,Low
DC04185,2022-03-22,Mumbai,Nightlife District,Cocaine,Possession,3.0,27,Female,1,0,1,Low
DC03400,2022-03-22,Hyderabad,Rural/Outskirts,Prescription Drugs,Public Consumption,16.76,36,Female,0,0,0,Low
DC00787,2022-03-23,Hyderabad,Commercial Zone,Prescription Drugs,Possession,3.74,23,Female,2,1,0,Low
DC04344,2022-03-23,Ahmedabad,Urban Residential,MDMA,Possession,12.34,26,Male,1,0,0,Low
